data,abertura,maxima,minima,fechamento,volume,ticker,simbolo
2025-11-26 00:00:00-03:00,155915.0,158714.0,155914.0,158555.0,8596500,IBOV,^BVSP
2025-11-27 00:00:00-03:00,158554.0,158864.0,158167.0,158292.0,3121400,IBOV,^BVSP
2025-11-28 00:00:00-03:00,158358.0,159689.0,158078.0,159072.0,8017000,IBOV,^BVSP
2025-12-01 00:00:00-03:00,159074.0,159224.0,158030.0,158611.0,7504300,IBOV,^BVSP
2025-12-02 00:00:00-03:00,158612.0,161092.0,158612.0,161092.0,8430000,IBOV,^BVSP
2025-12-03 00:00:00-03:00,161094.0,161964.0,161093.0,161755.0,8292000,IBOV,^BVSP
2025-12-04 00:00:00-03:00,161760.0,164551.0,161759.0,164456.0,10592300,IBOV,^BVSP
2025-12-05 00:00:00-03:00,164461.0,165036.0,157007.0,157369.0,14529000,IBOV,^BVSP
2025-12-08 00:00:00-03:00,157369.0,159235.0,157369.0,158187.0,9024100,IBOV,^BVSP
2025-12-09 00:00:00-03:00,158187.0,158851.0,155188.0,157981.0,8703800,IBOV,^BVSP
2025-12-10 00:00:00-03:00,157984.0,159691.0,157628.0,159075.0,8239900,IBOV,^BVSP
2025-12-11 00:00:00-03:00,159072.0,159850.0,158098.0,159189.0,7018000,IBOV,^BVSP
2025-12-12 00:00:00-03:00,159189.0,161263.0,159189.0,160766.0,7671200,IBOV,^BVSP
2025-12-15 00:00:00-03:00,160766.0,163073.0,160766.0,162482.0,8229000,IBOV,^BVSP
2025-12-16 00:00:00-03:00,162482.0,162482.0,158558.0,158578.0,9920300,IBOV,^BVSP
2025-12-17 00:00:00-03:00,158578.0,158611.0,156351.0,157327.0,11344300,IBOV,^BVSP
2025-12-18 00:00:00-03:00,157327.0,158496.0,157124.0,157923.0,7800100,IBOV,^BVSP
2025-12-19 00:00:00-03:00,157928.0,159552.0,157906.0,158473.0,9946500,IBOV,^BVSP
2025-12-22 00:00:00-03:00,158480.0,158634.0,157306.0,158142.0,8424000,IBOV,^BVSP
2025-12-23 00:00:00-03:00,158144.0,160456.0,158144.0,160456.0,6569800,IBOV,^BVSP
2025-12-26 00:00:00-03:00,160456.1875,160461.421875,159358.9375,160207.375,0,IBOV,^BVSP
